C행정구역별,행정구역별,C산업별,업종명,데이터업종명,C조직형태별,조직형태별,시점,사업체수 (개),종사자수 (명)
'00,전국,'0,전체 산업,,'0,계,2018,4103172,22234776
'00,전국,'A,"농업, 임업 및 어업(01~03)",,'0,계,2018,4261,42324
'00,전국,'A01,농업,,'0,계,2018,3292,28825
'00,전국,'A011,작물 재배업,,'0,계,2018,1588,10522
'00,전국,'A0111,곡물 및 기타 식량작물 재배업,,'0,계,2018,148,814
'00,전국,'A01110,곡물 및 기타 식량작물 재배업,,'0,계,2018,148,814
'00,전국,'A0112,"채소, 화훼작물 및 종묘 재배업",,'0,계,2018,523,3699
'00,전국,'A01121,채소작물 재배업,,'0,계,2018,189,965
'00,전국,'A01122,화훼작물 재배업,,'0,계,2018,54,234
'00,전국,'A01123,종자 및 묘목 생산업,,'0,계,2018,280,2500
'00,전국,'A0113,"과실, 음료용 및 향신용 작물 재배업",,'0,계,2018,101,438
'00,전국,'A01131,과실작물 재배업,,'0,계,2018,91,403
'00,전국,'A01132,음료용 및 향신용 작물 재배업,,'0,계,2018,10,35
'00,전국,'A0114,기타 작물 재배업,,'0,계,2018,130,446
'00,전국,'A01140,기타 작물 재배업,,'0,계,2018,130,446
'00,전국,'A0115,시설작물 재배업,,'0,계,2018,686,5125
'00,전국,'A01151,콩나물 재배업,,'0,계,2018,72,588
'00,전국,'A01152,"채소, 화훼 및 과실작물 시설 재배업",,'0,계,2018,256,1773
'00,전국,'A01159,기타 시설작물 재배업,,'0,계,2018,358,2764
'00,전국,'A012,축산업,,'0,계,2018,955,8225
'00,전국,'A0121,소 사육업,,'0,계,2018,126,676
'00,전국,'A01211,젖소 사육업,,'0,계,2018,19,205
'00,전국,'A01212,육우 사육업,,'0,계,2018,107,471
'00,전국,'A0122,양돈업,,'0,계,2018,354,4111
'00,전국,'A01220,양돈업,,'0,계,2018,354,4111
'00,전국,'A0123,가금류 및 조류 사육업,,'0,계,2018,279,2621
'00,전국,'A01231,양계업,,'0,계,2018,254,2451
'00,전국,'A01239,기타 가금류 및 조류 사육업,,'0,계,2018,25,170
'00,전국,'A0129,기타 축산업,,'0,계,2018,196,817
'00,전국,'A01291,말 및 양 사육업,,'0,계,2018,35,126
'00,전국,'A01299,그 외 기타 축산업,,'0,계,2018,161,691
'00,전국,'A013,작물재배 및 축산 복합농업,,'0,계,2018,1,X
'00,전국,'A0130,작물재배 및 축산 복합농업,,'0,계,2018,1,X
'00,전국,'A01300,작물재배 및 축산 복합농업,,'0,계,2018,1,X
'00,전국,'A014,작물재배 및 축산 관련 서비스업,,'0,계,2018,747,10076
'00,전국,'A0141,작물재배 관련 서비스업,,'0,계,2018,683,9570
'00,전국,'A01411,작물재배 지원 서비스업,,'0,계,2018,459,7314
'00,전국,'A01412,"농산물 건조, 선별 및 기타 수확 후 서비스업",,'0,계,2018,224,2256
'00,전국,'A0142,축산 관련 서비스업,,'0,계,2018,64,506
'00,전국,'A01420,축산 관련 서비스업,,'0,계,2018,64,506
'00,전국,'A015,수렵 및 관련 서비스업,,'0,계,2018,1,X
'00,전국,'A0150,수렵 및 관련 서비스업,,'0,계,2018,1,X
'00,전국,'A01500,수렵 및 관련 서비스업,,'0,계,2018,1,X
'00,전국,'A02,임업,,'0,계,2018,498,6035
'00,전국,'A020,임업,,'0,계,2018,498,6035
'00,전국,'A0201,영림업,,'0,계,2018,82,700
'00,전국,'A02011,임업용 종묘 생산업,,'0,계,2018,27,216
'00,전국,'A02012,육림업,,'0,계,2018,55,484
'00,전국,'A0202,벌목업,,'0,계,2018,10,56
'00,전국,'A02020,벌목업,,'0,계,2018,10,56
'00,전국,'A0203,임산물 채취업,,'0,계,2018,10,26
'00,전국,'A02030,임산물 채취업,,'0,계,2018,10,26
'00,전국,'A0204,임업 관련 서비스업,,'0,계,2018,396,5253
'00,전국,'A02040,임업 관련 서비스업,,'0,계,2018,396,5253
'00,전국,'A03,어업,,'0,계,2018,471,7464
'00,전국,'A031,어로 어업,,'0,계,2018,84,3820
'00,전국,'A0311,해수면 어업,,'0,계,2018,82,3818
'00,전국,'A03111,원양 어업,,'0,계,2018,34,1851
'00,전국,'A03112,연근해 어업,,'0,계,2018,48,1967
'00,전국,'A0312,내수면 어업,,'0,계,2018,2,X
'00,전국,'A03120,내수면 어업,,'0,계,2018,2,X
'00,전국,'A032,양식어업 및 어업관련 서비스업,,'0,계,2018,387,3644
'00,전국,'A0321,양식 어업,,'0,계,2018,320,2913
'00,전국,'A03211,해수면 양식 어업,,'0,계,2018,216,2472
'00,전국,'A03212,내수면 양식 어업,,'0,계,2018,68,259
'00,전국,'A03213,수산물 부화 및 수산종자 생산업,,'0,계,2018,36,182
'00,전국,'A0322,어업 관련 서비스업,,'0,계,2018,67,731
'00,전국,'A03220,어업 관련 서비스업,,'0,계,2018,67,731
'00,전국,'B,광업(05~08),,'0,계,2018,1916,14998
'00,전국,'B05,"석탄, 원유 및 천연가스 광업",,'0,계,2018,20,2070
'00,전국,'B051,석탄 광업,,'0,계,2018,19,2003
'00,전국,'B0510,석탄 광업,,'0,계,2018,19,2003
'00,전국,'B05100,석탄 광업,,'0,계,2018,19,2003
'00,전국,'B052,원유 및 천연가스 채굴업,,'0,계,2018,1,X
'00,전국,'B0520,원유 및 천연가스 채굴업,,'0,계,2018,1,X
'00,전국,'B05200,원유 및 천연가스 채굴업,,'0,계,2018,1,X
'00,전국,'B06,금속 광업,,'0,계,2018,24,313
'00,전국,'B061,철 광업,,'0,계,2018,3,144
'00,전국,'B0610,철 광업,,'0,계,2018,3,144
'00,전국,'B06100,철 광업,,'0,계,2018,3,144
'00,전국,'B062,비철금속 광업,,'0,계,2018,21,169
'00,전국,'B0620,비철금속 광업,,'0,계,2018,21,169
'00,전국,'B06200,비철금속 광업,,'0,계,2018,21,169
'00,전국,'B07,비금속광물 광업; 연료용 제외,,'0,계,2018,1861,12077
'00,전국,'B071,토사석 광업,,'0,계,2018,797,9267
'00,전국,'B0711,석회석 및 점토 광업,,'0,계,2018,152,2020
'00,전국,'B07110,석회석 및 점토 광업,,'0,계,2018,152,2020
'00,전국,'B0712,"석재, 쇄석 및 모래, 자갈 채취업",,'0,계,2018,645,7247
'00,전국,'B07121,건설용 석재 채굴 및 쇄석 생산업,,'0,계,2018,366,4936
'00,전국,'B07122,모래 및 자갈 채취업,,'0,계,2018,279,2311
'00,전국,'B072,기타 비금속광물 광업,,'0,계,2018,1064,2810
'00,전국,'B0721,화학용 및 비료원료용 광물 광업,,'0,계,2018,18,215
'00,전국,'B07210,화학용 및 비료원료용 광물 광업,,'0,계,2018,18,215
'00,전국,'B0722,천일염 생산 및 암염 채취업,,'0,계,2018,1013,2286
'00,전국,'B07220,천일염 생산 및 암염 채취업,,'0,계,2018,1013,2286
'00,전국,'B0729,그 외 기타 비금속광물 광업,,'0,계,2018,33,309
'00,전국,'B07290,그 외 기타 비금속광물 광업,,'0,계,2018,33,309
'00,전국,'B08,광업 지원 서비스업,,'0,계,2018,11,538
'00,전국,'B080,광업 지원 서비스업,,'0,계,2018,11,538
'00,전국,'B0800,광업 지원 서비스업,,'0,계,2018,11,538
'00,전국,'B08000,광업 지원 서비스업,,'0,계,2018,11,538
'00,전국,'C,제조업(10~34),,'0,계,2018,437024,4105871
'00,전국,'C10,식료품 제조업,,'0,계,2018,60071,342089
'00,전국,'C101,"도축, 육류 가공 및 저장 처리업",,'0,계,2018,2722,49096
'00,전국,'C1011,도축업,,'0,계,2018,327,15764
'00,전국,'C10111,육류 도축업(가금류 제외),,'0,계,2018,203,6668
'00,전국,'C10112,가금류 도축업,,'0,계,2018,124,9096
'00,전국,'C1012,육류 가공 및 저장 처리업,,'0,계,2018,2395,33332
'00,전국,'C10121,가금류 가공 및 저장 처리업,,'0,계,2018,676,10520
'00,전국,'C10122,육류 포장육 및 냉동육 가공업 (가금류 제외),,'0,계,2018,830,12031
'00,전국,'C10129,육류 기타 가공 및 저장처리업 (가금류 제외),,'0,계,2018,889,10781
'00,전국,'C102,수산물 가공 및 저장 처리업,,'0,계,2018,3906,41340
'00,전국,'C1021,수산동물 가공 및 저장 처리업,,'0,계,2018,2757,28620
'00,전국,'C10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",,'0,계,2018,585,10120
'00,전국,'C10212,수산동물 건조 및 염장품 제조업,,'0,계,2018,1669,11318
'00,전국,'C10213,수산동물 냉동품 제조업,,'0,계,2018,244,4094
'00,전국,'C10219,기타 수산동물 가공 및 저장 처리업,,'0,계,2018,259,3088
'00,전국,'C1022,수산식물 가공 및 저장 처리업,,'0,계,2018,1149,12720
'00,전국,'C10220,수산식물 가공 및 저장 처리업,,'0,계,2018,1149,12720
'00,전국,'C103,"과실, 채소 가공 및 저장 처리업",,'0,계,2018,4396,29999
'00,전국,'C1030,"과실, 채소 가공 및 저장 처리업",,'0,계,2018,4396,29999
'00,전국,'C10301,김치류 제조업,,'0,계,2018,1150,10171
'00,전국,'C10302,과실 및 그 외 채소 절임식품 제조업,,'0,계,2018,748,6140
'00,전국,'C10309,기타 과실ㆍ채소 가공 및 저장 처리업,,'0,계,2018,2498,13688
'00,전국,'C104,동물성 및 식물성 유지 제조업,,'0,계,2018,3313,7960
'00,전국,'C1040,동물성 및 식물성 유지 제조업,,'0,계,2018,3313,7960
'00,전국,'C10401,동물성 유지 제조업,,'0,계,2018,40,622
'00,전국,'C10402,식물성 유지 제조업,,'0,계,2018,3221,6663
'00,전국,'C10403,식용 정제유 및 가공유 제조업,,'0,계,2018,52,675
'00,전국,'C105,낙농제품 및 식용빙과류 제조업,,'0,계,2018,247,10414
'00,전국,'C1050,낙농제품 및 식용빙과류 제조업,,'0,계,2018,247,10414
'00,전국,'C10501,액상시유 및 기타 낙농제품 제조업,,'0,계,2018,195,8474
'00,전국,'C10502,아이스크림 및 기타 식용빙과류 제조업,,'0,계,2018,52,1940
'00,전국,'C106,"곡물가공품, 전분 및 전분제품 제조업",,'0,계,2018,5764,23641
'00,전국,'C1061,곡물 가공품 제조업,,'0,계,2018,5496,21520
'00,전국,'C10611,곡물 도정업,,'0,계,2018,2717,8838
'00,전국,'C10612,곡물 제분업,,'0,계,2018,1506,5005
'00,전국,'C10613,곡물 혼합분말 및 반죽 제조업,,'0,계,2018,280,2750
'00,전국,'C10619,기타 곡물 가공품 제조업,,'0,계,2018,993,4927
'00,전국,'C1062,전분제품 및 당류 제조업,,'0,계,2018,268,2121
'00,전국,'C10620,전분제품 및 당류 제조업,,'0,계,2018,268,2121
'00,전국,'C107,기타 식품 제조업,,'0,계,2018,38723,168671
'00,전국,'C1071,"떡, 빵 및 과자류 제조업",,'0,계,2018,15709,62305
'00,전국,'C10711,떡류 제조업,,'0,계,2018,13405,31164
'00,전국,'C10712,빵류 제조업,,'0,계,2018,1101,17671
