CARD_SIDO_NM,STD_CLSS_NM,AMT
강원,건강보조식품 소매업,106548473
강원,골프장 운영업,3964893280
강원,과실 및 채소 소매업,827683360
강원,관광 민예품 및 선물용품 소매업,17905610
강원,그외 기타 스포츠시설 운영업,5904100
강원,그외 기타 종합 소매업,433801770
강원,기타 대형 종합 소매업,7409552190
강원,기타 수상오락 서비스업,1507000
강원,기타 외국식 음식점업,1084116176
강원,기타 주점업,295860923
강원,기타음식료품위주종합소매업,6986513152
강원,내항 여객 운송업,2530000
강원,마사지업,34368000
강원,면세점,113730
강원,버스 운송업,940000
강원,비알콜 음료점업,1126021748
강원,빵 및 과자류 소매업,1136862948
강원,서양식 음식점업,2006741541
강원,수산물 소매업,517525064
강원,슈퍼마켓,9375852344
강원,스포츠 및 레크레이션 용품 임대업,3118131411
강원,여관업,524674376
강원,여행사업,45807900
강원,욕탕업,224609216
강원,육류 소매업,1390905111
강원,일반유흥 주점업,1298074939
강원,일식 음식점업,1588371998
강원,자동차 임대업,3098900
강원,전시 및 행사 대행업,109944110
강원,중식 음식점업,1338998121
강원,차량용 가스 충전업,565594346
강원,차량용 주유소 운영업,16823759095
강원,체인화 편의점,8638971864
강원,택시 운송업,71410
강원,피자 햄버거 샌드위치 및 유사 음식점업,1457859941
강원,한식 음식점업,22330264998
강원,호텔업,311559718
강원,화장품 및 방향제 소매업,670542065
강원,휴양콘도 운영업,1013036101
경기,건강보조식품 소매업,1222358444
경기,골프장 운영업,18903364239
경기,과실 및 채소 소매업,6458229930
경기,관광 민예품 및 선물용품 소매업,167134496
경기,그외 기타 스포츠시설 운영업,36669800
경기,그외 기타 종합 소매업,8428541308
경기,기타 대형 종합 소매업,157774196962
경기,기타 수상오락 서비스업,71345340
경기,기타 외국식 음식점업,12345753930
경기,기타 주점업,1545246831
경기,기타음식료품위주종합소매업,17027802775
경기,내항 여객 운송업,1156500
경기,마사지업,395512723
경기,버스 운송업,24024300
경기,비알콜 음료점업,13825048429
경기,빵 및 과자류 소매업,14824810091
경기,서양식 음식점업,22173950348
경기,수산물 소매업,2871600726
경기,슈퍼마켓,114874698581
경기,스포츠 및 레크레이션 용품 임대업,18191240410
경기,여관업,4109358214
경기,여행사업,76026712
경기,욕탕업,2823844922
경기,육류 소매업,14265319304
경기,일반유흥 주점업,7340367196
경기,일식 음식점업,10886140903
경기,자동차 임대업,704993868
경기,전시 및 행사 대행업,4027542495
경기,중식 음식점업,16385696169
경기,차량용 가스 충전업,2879481006
경기,차량용 주유소 운영업,126086514870
경기,체인화 편의점,89576430218
경기,택시 운송업,161117440
경기,피자 햄버거 샌드위치 및 유사 음식점업,17821188449
경기,한식 음식점업,225659196130
경기,호텔업,255708480
경기,화장품 및 방향제 소매업,6873584635
경기,휴양콘도 운영업,56419910
경남,건강보조식품 소매업,286418037
경남,골프장 운영업,5471565048
경남,과실 및 채소 소매업,2351726315
경남,관광 민예품 및 선물용품 소매업,39635720
경남,그외 기타 분류안된 오락관련 서비스업,1109000
경남,그외 기타 스포츠시설 운영업,8575400
경남,그외 기타 종합 소매업,927495250
경남,기타 대형 종합 소매업,23153059743
경남,기타 수상오락 서비스업,2897950
경남,기타 외국식 음식점업,1956948470
경남,기타 주점업,665742599
경남,기타음식료품위주종합소매업,10102947303
경남,내항 여객 운송업,32813800
경남,마사지업,51951400
경남,버스 운송업,81703932
경남,비알콜 음료점업,2938048965
경남,빵 및 과자류 소매업,3372592576
경남,서양식 음식점업,4477069170
경남,수산물 소매업,800522644
경남,슈퍼마켓,22138416513
경남,스포츠 및 레크레이션 용품 임대업,5672871159
경남,여관업,1002224927
경남,여행사업,2059500
경남,욕탕업,1128644616
경남,육류 소매업,4013434420
경남,일반유흥 주점업,4807630908
경남,일식 음식점업,2481715691
경남,자동차 임대업,5310200
경남,전시 및 행사 대행업,77178220
경남,중식 음식점업,2550419079
경남,차량용 가스 충전업,1162587242
경남,차량용 주유소 운영업,42315846142
경남,체인화 편의점,19115749049
경남,택시 운송업,20699850
경남,피자 햄버거 샌드위치 및 유사 음식점업,4120389937
경남,한식 음식점업,58448252299
경남,호텔업,73293520
경남,화장품 및 방향제 소매업,2035074702
경남,휴양콘도 운영업,392589268
경북,건강보조식품 소매업,152982607
경북,골프장 운영업,6033762509
경북,과실 및 채소 소매업,1648674840
경북,관광 민예품 및 선물용품 소매업,54996253
경북,그외 기타 분류안된 오락관련 서비스업,85000
경북,그외 기타 스포츠시설 운영업,4436100
경북,그외 기타 종합 소매업,542785390
경북,기타 대형 종합 소매업,13939742864
경북,기타 수상오락 서비스업,852620
경북,기타 외국식 음식점업,1407804137
경북,기타 주점업,367783500
경북,기타음식료품위주종합소매업,7687026143
경북,내항 여객 운송업,4928700
경북,마사지업,19825500
경북,버스 운송업,165800
경북,비알콜 음료점업,2058233943
경북,빵 및 과자류 소매업,2304024255
경북,서양식 음식점업,2911905276
경북,수산물 소매업,945234385
경북,슈퍼마켓,21327343018
경북,스포츠 및 레크레이션 용품 임대업,5762343629
경북,여관업,501820635
경북,욕탕업,571066236
경북,육류 소매업,4157895495
경북,일반유흥 주점업,1373396249
경북,일식 음식점업,1184923648
경북,자동차 임대업,1079000
경북,전시 및 행사 대행업,207272700
경북,중식 음식점업,1750774805
경북,차량용 가스 충전업,1549751055
경북,차량용 주유소 운영업,46502200454
경북,체인화 편의점,12880308012
경북,택시 운송업,561920
