,CARD_SIDO_NM,CARD_CCG_NM,STD_CLSS_NM,REG_YYMM,LP
549,경기,가평군,건강보조식품 소매업,201901,0.028940072968078382
550,경기,가평군,골프장 운영업,201901,0.5465244718865476
551,경기,가평군,과실 및 채소 소매업,201901,0.532443542836555
552,경기,가평군,관광 민예품 및 선물용품 소매업,201901,0.017674665533317778
553,경기,가평군,그외 기타 분류안된 오락관련 서비스업,201901,0.0
554,경기,가평군,기타 수상오락 서비스업,201901,0.0
555,경기,가평군,기타 외국식 음식점업,201901,0.4986024431058827
556,경기,가평군,기타 주점업,201901,0.04760062493315115
557,경기,가평군,기타음식료품위주종합소매업,201901,8.380839231177882
558,경기,가평군,마사지업,201901,0.0
559,경기,가평군,비알콜 음료점업,201901,0.5349471143097833
560,경기,가평군,빵 및 과자류 소매업,201901,0.8315386379310499
561,경기,가평군,서양식 음식점업,201901,0.9283681834072749
562,경기,가평군,수산물 소매업,201901,0.00936514620777811
563,경기,가평군,슈퍼마켓,201901,11.82910309040763
564,경기,가평군,스포츠 및 레크레이션 용품 임대업,201901,0.28699700882078744
565,경기,가평군,여관업,201901,0.7231489153826878
566,경기,가평군,욕탕업,201901,0.3377009731013245
567,경기,가평군,육류 소매업,201901,1.219842042072938
568,경기,가평군,일반유흥 주점업,201901,1.1843035483368005
569,경기,가평군,일식 음식점업,201901,0.2113910543542917
570,경기,가평군,전시 및 행사 대행업,201901,1.6336623036359676
571,경기,가평군,중식 음식점업,201901,0.8889604894783154
572,경기,가평군,차량용 가스 충전업,201901,0.4026489705266834
573,경기,가평군,차량용 주유소 운영업,201901,23.588809606102252
574,경기,가평군,체인화 편의점,201901,8.650548800014226
575,경기,가평군,피자 햄버거 샌드위치 및 유사 음식점업,201901,0.9604814247325248
576,경기,가평군,한식 음식점업,201901,35.161144276364375
577,경기,가평군,호텔업,201901,0.0
578,경기,가평군,화장품 및 방향제 소매업,201901,0.28576725221059585
579,경기,가평군,휴양콘도 운영업,201901,0.27864611016129426
580,경기,고양시 덕양구,건강보조식품 소매업,201901,0.08055503365475418
581,경기,고양시 덕양구,골프장 운영업,201901,0.2555554885105827
582,경기,고양시 덕양구,과실 및 채소 소매업,201901,0.34988708234359245
583,경기,고양시 덕양구,관광 민예품 및 선물용품 소매업,201901,0.006069484020493378
584,경기,고양시 덕양구,그외 기타 스포츠시설 운영업,201901,0.0
585,경기,고양시 덕양구,그외 기타 종합 소매업,201901,3.461901123147558
586,경기,고양시 덕양구,기타 대형 종합 소매업,201901,27.851360664694287
587,경기,고양시 덕양구,기타 수상오락 서비스업,201901,0.003102194796240902
588,경기,고양시 덕양구,기타 외국식 음식점업,201901,1.097847519095843
589,경기,고양시 덕양구,기타 주점업,201901,0.12746201454807898
590,경기,고양시 덕양구,기타음식료품위주종합소매업,201901,1.2851916817823343
591,경기,고양시 덕양구,마사지업,201901,0.01301490421967217
592,경기,고양시 덕양구,비알콜 음료점업,201901,0.9353052644662095
593,경기,고양시 덕양구,빵 및 과자류 소매업,201901,1.2984911670893577
594,경기,고양시 덕양구,서양식 음식점업,201901,1.4864028895510348
595,경기,고양시 덕양구,수산물 소매업,201901,0.1876517505574223
596,경기,고양시 덕양구,슈퍼마켓,201901,9.34106200624755
597,경기,고양시 덕양구,스포츠 및 레크레이션 용품 임대업,201901,0.4128305894249406
598,경기,고양시 덕양구,여관업,201901,0.27498474099463416
599,경기,고양시 덕양구,여행사업,201901,0.02610039635482843
600,경기,고양시 덕양구,욕탕업,201901,0.4123740955704305
601,경기,고양시 덕양구,육류 소매업,201901,1.538347643518888
602,경기,고양시 덕양구,일반유흥 주점업,201901,0.21452500383346615
603,경기,고양시 덕양구,일식 음식점업,201901,0.7923347333717584
604,경기,고양시 덕양구,전시 및 행사 대행업,201901,0.026687298928927374
605,경기,고양시 덕양구,중식 음식점업,201901,1.2118540708945813
606,경기,고양시 덕양구,차량용 가스 충전업,201901,0.38882797471453223
607,경기,고양시 덕양구,차량용 주유소 운영업,201901,18.415009057711952
608,경기,고양시 덕양구,체인화 편의점,201901,6.294169234806114
609,경기,고양시 덕양구,피자 햄버거 샌드위치 및 유사 음식점업,201901,1.8264428056783193
610,경기,고양시 덕양구,한식 음식점업,201901,19.876342356150047
611,경기,고양시 덕양구,화장품 및 방향제 소매업,201901,0.5083097293215725
612,경기,고양시 일산동구,건강보조식품 소매업,201901,0.07954677460280149
613,경기,고양시 일산동구,골프장 운영업,201901,0.07408395551575896
614,경기,고양시 일산동구,과실 및 채소 소매업,201901,0.3650080412736507
615,경기,고양시 일산동구,관광 민예품 및 선물용품 소매업,201901,0.008334939318990974
616,경기,고양시 일산동구,그외 기타 스포츠시설 운영업,201901,0.023884902919427926
617,경기,고양시 일산동구,그외 기타 종합 소매업,201901,0.007330110855404769
618,경기,고양시 일산동구,기타 대형 종합 소매업,201901,17.713268770902218
619,경기,고양시 일산동구,기타 수상오락 서비스업,201901,0.0
620,경기,고양시 일산동구,기타 외국식 음식점업,201901,1.4108106422005386
621,경기,고양시 일산동구,기타 주점업,201901,0.177943939102504
622,경기,고양시 일산동구,기타음식료품위주종합소매업,201901,0.5402172255742249
623,경기,고양시 일산동구,마사지업,201901,0.058693345660260035
624,경기,고양시 일산동구,비알콜 음료점업,201901,1.6870483292979268
625,경기,고양시 일산동구,빵 및 과자류 소매업,201901,1.6725159820065487
626,경기,고양시 일산동구,서양식 음식점업,201901,4.122524530941524
627,경기,고양시 일산동구,수산물 소매업,201901,0.205252909714823
628,경기,고양시 일산동구,슈퍼마켓,201901,8.83475397024773
629,경기,고양시 일산동구,스포츠 및 레크레이션 용품 임대업,201901,0.39345872961492767
630,경기,고양시 일산동구,여관업,201901,0.21557385914039037
631,경기,고양시 일산동구,욕탕업,201901,0.6031920581151308
632,경기,고양시 일산동구,육류 소매업,201901,0.969368934290846
633,경기,고양시 일산동구,일반유흥 주점업,201901,0.2886493947812439
634,경기,고양시 일산동구,일식 음식점업,201901,1.9788585776400076
635,경기,고양시 일산동구,전시 및 행사 대행업,201901,0.005027572317505533
636,경기,고양시 일산동구,중식 음식점업,201901,1.8222383688452335
637,경기,고양시 일산동구,차량용 가스 충전업,201901,0.25594437708536405
638,경기,고양시 일산동구,차량용 주유소 운영업,201901,12.703705569315593
