,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT,AMT_answer
4,202003,강원,그외 기타 분류안된 오락관련 서비스업,15802890.0,
14,202003,강원,면세점,131424528.0,
15,202003,강원,버스 운송업,20169544.0,
30,202003,강원,정기 항공 운송업,310128380.0,
35,202003,강원,택시 운송업,6157102.0,
45,202003,경기,그외 기타 분류안된 오락관련 서비스업,37800184.0,
55,202003,경기,면세점,143003323.0,
71,202003,경기,정기 항공 운송업,1182588064.0,
96,202003,경남,면세점,203254789.0,
110,202003,경남,자동차 임대업,49780455.0,
112,202003,경남,정기 항공 운송업,1109132894.0,
127,202003,경북,그외 기타 분류안된 오락관련 서비스업,11021364.0,
135,202003,경북,내항 여객 운송업,24206544.0,
137,202003,경북,면세점,445817676.0,
138,202003,경북,버스 운송업,13770059.0,
153,202003,경북,정기 항공 운송업,853556014.0,
168,202003,광주,그외 기타 분류안된 오락관련 서비스업,7161704.0,
172,202003,광주,기타 수상오락 서비스업,7440353.0,
176,202003,광주,내항 여객 운송업,58427971.0,
178,202003,광주,면세점,250406042.0,
187,202003,광주,여행사업,25675528.0,
194,202003,광주,정기 항공 운송업,623717940.0,
199,202003,광주,택시 운송업,5546412.0,
204,202003,광주,휴양콘도 운영업,119263686.0,
209,202003,대구,그외 기타 분류안된 오락관련 서비스업,15950832.0,
217,202003,대구,내항 여객 운송업,103802994.0,
219,202003,대구,면세점,393360256.0,
220,202003,대구,버스 운송업,16842641.0,
228,202003,대구,여행사업,41645864.0,
235,202003,대구,정기 항공 운송업,1036198520.0,
245,202003,대구,휴양콘도 운영업,159580034.0,
250,202003,대전,그외 기타 분류안된 오락관련 서비스업,6642628.0,
258,202003,대전,내항 여객 운송업,43130101.0,
260,202003,대전,면세점,207569604.0,
261,202003,대전,버스 운송업,21732031.0,
269,202003,대전,여행사업,24808742.0,
276,202003,대전,정기 항공 운송업,766689515.0,
281,202003,대전,택시 운송업,10615623.0,
286,202003,대전,휴양콘도 운영업,112844855.0,
291,202003,부산,그외 기타 분류안된 오락관련 서비스업,16201437.0,
299,202003,부산,내항 여객 운송업,43553847.0,
332,202003,서울,그외 기타 분류안된 오락관련 서비스업,49531747.0,
368,202003,서울,휴양콘도 운영업,442233268.0,
372,202003,세종,관광 민예품 및 선물용품 소매업,12844136.0,
373,202003,세종,그외 기타 분류안된 오락관련 서비스업,6626790.0,
374,202003,세종,그외 기타 스포츠시설 운영업,8398370.0,
377,202003,세종,기타 수상오락 서비스업,6791044.0,
381,202003,세종,내항 여객 운송업,26049526.0,
383,202003,세종,면세점,168068187.0,
384,202003,세종,버스 운송업,12609419.0,
392,202003,세종,여행사업,12028261.0,
397,202003,세종,자동차 임대업,28919809.0,
399,202003,세종,정기 항공 운송업,261759514.0,
404,202003,세종,택시 운송업,5639525.0,
407,202003,세종,호텔업,44652905.0,
409,202003,세종,휴양콘도 운영업,95388352.0,
414,202003,울산,그외 기타 분류안된 오락관련 서비스업,6841252.0,
418,202003,울산,기타 수상오락 서비스업,8964920.0,
422,202003,울산,내항 여객 운송업,31820832.0,
424,202003,울산,면세점,107012830.0,
440,202003,울산,정기 항공 운송업,252720373.0,
445,202003,울산,택시 운송업,10600815.0,
450,202003,울산,휴양콘도 운영업,108849352.0,
455,202003,인천,그외 기타 분류안된 오락관련 서비스업,16504175.0,
466,202003,인천,버스 운송업,21661883.0,
491,202003,인천,휴양콘도 운영업,379314747.0,
496,202003,전남,그외 기타 분류안된 오락관련 서비스업,14711313.0,
500,202003,전남,기타 수상오락 서비스업,13431973.0,
506,202003,전남,면세점,107559251.0,
522,202003,전남,정기 항공 운송업,785935226.0,
527,202003,전남,택시 운송업,8432516.0,
537,202003,전북,그외 기타 분류안된 오락관련 서비스업,10810240.0,
541,202003,전북,기타 수상오락 서비스업,11193781.0,
545,202003,전북,내항 여객 운송업,47986477.0,
547,202003,전북,면세점,292944147.0,
579,202003,제주,그외 기타 스포츠시설 운영업,27912669.0,
589,202003,제주,버스 운송업,31549414.0,
627,202003,충남,내항 여객 운송업,20954877.0,
629,202003,충남,면세점,522232632.0,
645,202003,충남,정기 항공 운송업,613472907.0,
650,202003,충남,택시 운송업,6637679.0,
660,202003,충북,그외 기타 분류안된 오락관련 서비스업,7913029.0,
668,202003,충북,내항 여객 운송업,20978780.0,
670,202003,충북,면세점,93073440.0,
671,202003,충북,버스 운송업,10857886.0,
679,202003,충북,여행사업,19047558.0,
684,202003,충북,자동차 임대업,32956585.0,
686,202003,충북,정기 항공 운송업,683567583.0,
