id,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
0,202004,강원,건강보조식품 소매업,1440407662.4517558
1,202004,강원,골프장 운영업,23348104834.764984
2,202004,강원,과실 및 채소 소매업,11721365476.33662
3,202004,강원,관광 민예품 및 선물용품 소매업,261136975.44424933
4,202004,강원,그외 기타 분류안된 오락관련 서비스업,71960.4340289174
5,202004,강원,그외 기타 스포츠시설 운영업,39557330.69308228
6,202004,강원,그외 기타 종합 소매업,5002309024.10773
7,202004,강원,기타 대형 종합 소매업,94757653917.48648
8,202004,강원,기타 수상오락 서비스업,45240566.59817007
9,202004,강원,기타 외국식 음식점업,12329276732.354565
10,202004,강원,기타 주점업,3217193808.826278
11,202004,강원,기타음식료품위주종합소매업,113519177639.1449
12,202004,강원,내항 여객 운송업,10079158.842825737
13,202004,강원,마사지업,345475849.3194692
14,202004,강원,면세점,1129859.1061750378
15,202004,강원,버스 운송업,6611762.187406727
16,202004,강원,비알콜 음료점업,14475649338.451944
17,202004,강원,빵 및 과자류 소매업,18229540797.183483
18,202004,강원,서양식 음식점업,24869372952.76511
19,202004,강원,수산물 소매업,6692139542.050811
20,202004,강원,슈퍼마켓,155884626695.19785
21,202004,강원,스포츠 및 레크레이션 용품 임대업,26575358515.992218
22,202004,강원,여관업,5297455443.2927885
23,202004,강원,여행사업,838579837.1660774
24,202004,강원,욕탕업,2467277573.993595
25,202004,강원,육류 소매업,25187834863.599155
26,202004,강원,일반유흥 주점업,18868287220.667786
27,202004,강원,일식 음식점업,17401241878.053043
28,202004,강원,자동차 임대업,23281960.22153941
29,202004,강원,전시 및 행사 대행업,4780452932.788689
30,202004,강원,정기 항공 운송업,0.0
31,202004,강원,중식 음식점업,20871284026.381447
32,202004,강원,차량용 가스 충전업,8187238229.30698
33,202004,강원,차량용 주유소 운영업,232565999576.79425
34,202004,강원,체인화 편의점,134992730594.75114
35,202004,강원,택시 운송업,2772349.008896017
36,202004,강원,피자 햄버거 샌드위치 및 유사 음식점업,17165828101.477325
37,202004,강원,한식 음식점업,284385257816.3929
38,202004,강원,호텔업,1758184343.561079
39,202004,강원,화장품 및 방향제 소매업,7459892628.463567
40,202004,강원,휴양콘도 운영업,16562302890.118868
