adv_data,GDP,GDI,GNI,unemployment_rate,CSI,KOSPI,KOSDAQ,dollar,yen
97.6,437193.3,435911.5,438021.1,4.5,97.5,2101.9841142134233,690.4622747247869,1120.6572875976562,10.288681810552424
104.6,437193.3,435911.5,438021.1,4.7,99.5,2209.1849853515623,737.1792449951172,1121.0520141601562,10.160150051116943
114.2,437193.3,435911.5,438021.1,4.3,99.8,2162.99159934304,741.8886371959339,1130.9736328125,10.173227223482998
116.2,437193.3,435911.5,438021.1,4.4,101.6,2212.661137507512,755.8525003286509,1141.4336547851562,10.22038459777832
112.5,461251.3,451185.2,450834.8,4.0,97.9,2096.310393156829,718.6757394296152,1181.8487074110244,10.74961107748526
97.8,461251.3,451185.2,450834.8,4.0,97.5,2102.4564306640623,713.4820080566407,1171.2587963867188,10.834839992523193
102.0,461251.3,451185.2,450834.8,3.9,95.9,2079.322609230324,667.314449734158,1175.8470413773148,10.86374063845034
104.2,461251.3,451185.2,450834.8,3.0,92.5,1943.8528935359075,594.7836550199069,1208.9767338679387,11.39061531653771
116.3,463085.9,449417.1,456586.5,3.1,96.9,2044.0499926757811,632.4062060546875,1194.7510034179688,11.165070284138551
102.4,463085.9,449417.1,456586.5,3.0,98.6,2060.9299903282754,642.7819213867188,1182.7113365760217,10.92878422529801
99.3,463085.9,449417.1,456586.5,3.1,101.0,2128.9416620163693,656.9833374023438,1167.0033249627977,10.721738134111677
102.9,463085.9,449417.1,456586.5,3.4,100.5,2151.1111228249288,642.1580283425071,1172.771817294034,10.74124999479814
99.8,487427.9,472219.8,478694.1,4.1,104.2,2203.233451511549,671.531886888587,1163.9347826086957,10.65417832913606
100.7,487427.9,472219.8,478694.1,4.1,96.9,2167.123486328125,667.297998046875,1193.281005859375,10.844305038452148
111.1,487427.9,472219.8,478694.1,4.2,78.4,1783.7323873768682,548.7043417225714,1215.2343378481658,11.296300017315408
105.7,487427.9,472219.8,478694.1,4.2,70.8,1854.255375788762,616.8953869159405,1221.6401977539062,11.326574967457699
